Age,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13,0.000435,0.000405,0.00044,0.00036,0.00042,0.000415,0.00015,0.00015,0.000155,0.00017,0.000175,0.000175,0.000175,0.000205,0.000255,0.000285,0.00028,0.000275,0.000275,0.00027,0.000275,0.00031,0.000275,0.000275,0.00028,0.000285,0.00028,0.000265,0.000235,0.000255,0.000265,0.00027,0.00025,0.000255,0.00026,0.00088,0.00081,0.000915,0.00087,0.00092,0.001,0.00096,0.001005,0.00095,0.00093,0.00088,0.000975,0.000905,0.000885,0.000885,0.000925,0.000955,0.00098,0.00106,0.001155,0.00113,0.001235,0.001205,0.00122,0.00122,0.001235,0.001145,0.001085,0.000975,0.00088,0.00084,0.000765,0.000725,0.000645,0.000595,0.00019,0.000505,0.000515,0.00051,0.00045,0.00043,0.00038,0.000345,0.0003,0.000285,0.000225,0.000185,0.00019,0.000175,0.00015,0.00013,0.00014,0.000145,0.000155,0.00015,0.000145
14,0.001775,0.001985,0.0021,0.00197,0.002075,0.0022,0.002615,0.002565,0.002725,0.002855,0.00303,0.00294,0.003015,0.002985,0.00395,0.004455,0.004485,0.004485,0.0045,0.0043,0.004455,0.00497,0.00461,0.00465,0.004585,0.00449,0.0046,0.004505,0.00392,0.00392,0.00408,0.00418,0.00405,0.00414,0.004255,0.003855,0.00428,0.004555,0.004555,0.004715,0.004965,0.00485,0.004845,0.00462,0.00452,0.00436,0.00443,0.004455,0.004355,0.004505,0.004365,0.004345,0.004495,0.004745,0.005025,0.00537,0.00564,0.00578,0.005745,0.00577,0.00569,0.00571,0.005295,0.00474,0.00427,0.003995,0.00375,0.00347,0.00315,0.00292,0.00303,0.002595,0.00256,0.00246,0.002465,0.00231,0.00203,0.001815,0.00161,0.00149,0.001265,0.00112,0.001,0.00091,0.000765,0.00069,0.000695,0.000665,0.00068,0.000665,0.00067
15,0.006725,0.007155,0.007735,0.00733,0.007695,0.007685,0.00902,0.008935,0.00949,0.01007,0.01057,0.009905,0.009815,0.008245,0.01147,0.012765,0.013375,0.013525,0.014245,0.013445,0.013685,0.01466,0.014835,0.014915,0.015095,0.013865,0.01456,0.0143,0.01391,0.012075,0.012305,0.01235,0.012465,0.012475,0.01242,0.013055,0.01371,0.01502,0.0154,0.01625,0.01657,0.01603,0.01595,0.015005,0.01479,0.013965,0.013985,0.014355,0.01388,0.01382,0.01392,0.013385,0.01365,0.01401,0.014645,0.01553,0.016725,0.017085,0.01772,0.01732,0.017485,0.017185,0.01656,0.01504,0.01368,0.012775,0.01189,0.011095,0.01012,0.00935,0.008975,0.008755,0.0085,0.00856,0.00866,0.00812,0.007525,0.006545,0.005765,0.00537,0.00464,0.003955,0.003675,0.003195,0.002755,0.002445,0.0023,0.00225,0.0021,0.00208,0.00209
16,0.01876,0.019925,0.020475,0.02094,0.021935,0.02224,0.023675,0.02363,0.02493,0.026565,0.027545,0.025,0.02434,0.022915,0.031055,0.034815,0.036455,0.037075,0.03867,0.038145,0.03883,0.04065,0.04044,0.043515,0.043735,0.04089,0.03915,0.03942,0.03929,0.03688,0.03346,0.033725,0.03315,0.03291,0.032965,0.03278,0.033665,0.037045,0.03666,0.03813,0.03764,0.036295,0.035305,0.03398,0.032985,0.03096,0.030855,0.03109,0.03037,0.03069,0.03032,0.029995,0.029635,0.029575,0.03043,0.031825,0.03469,0.03606,0.037065,0.036685,0.036365,0.03643,0.03453,0.032305,0.029915,0.028445,0.02642,0.02504,0.022845,0.021495,0.020505,0.02043,0.01951,0.019905,0.01995,0.019325,0.01779,0.01591,0.01404,0.012865,0.01105,0.009885,0.00898,0.00792,0.006945,0.00643,0.00579,0.005455,0.00486,0.00478,0.004925
17,0.038465,0.040635,0.0411,0.040015,0.04452,0.045845,0.04589,0.046155,0.048455,0.05188,0.053235,0.047125,0.045145,0.045185,0.065565,0.06979,0.071665,0.071675,0.07689,0.07575,0.078105,0.079445,0.08017,0.08383,0.087535,0.084175,0.080125,0.076655,0.076565,0.073545,0.07201,0.06562,0.063695,0.062445,0.061625,0.060775,0.061145,0.064815,0.063315,0.06366,0.06221,0.059915,0.057,0.053385,0.053695,0.051145,0.051365,0.051635,0.05023,0.050375,0.049715,0.04911,0.05003,0.048525,0.04896,0.05101,0.05504,0.05801,0.060285,0.058875,0.058955,0.058485,0.05671,0.053215,0.0514,0.0487,0.045915,0.04433,0.04086,0.03844,0.037055,0.036465,0.03593,0.03668,0.03634,0.035495,0.03294,0.0293,0.026005,0.023675,0.020895,0.018805,0.017155,0.015375,0.013725,0.012635,0.011925,0.01078,0.009825,0.00974,0.009555
18,0.065875,0.069585,0.06954,0.069085,0.070875,0.076095,0.070315,0.07129,0.07487,0.081005,0.082295,0.072055,0.06801,0.08267,0.109845,0.115465,0.11537,0.11497,0.124065,0.124385,0.129045,0.130485,0.129765,0.138315,0.14146,0.139625,0.13677,0.130885,0.12569,0.12261,0.117785,0.113825,0.10305,0.10099,0.09659,0.095095,0.09531,0.09817,0.092165,0.08808,0.083825,0.080955,0.07782,0.07323,0.073065,0.072465,0.072435,0.073465,0.071345,0.07175,0.070135,0.06984,0.07138,0.0718,0.070085,0.07207,0.076995,0.0824,0.085655,0.084465,0.082635,0.08178,0.07925,0.075985,0.07282,0.071825,0.068625,0.067335,0.06374,0.06002,0.058145,0.057325,0.056695,0.05913,0.05918,0.056605,0.053155,0.04769,0.043155,0.040305,0.036395,0.0336,0.03078,0.02847,0.026115,0.023925,0.02263,0.02064,0.0191,0.01852,0.017965
19,0.087195,0.09156,0.09188,0.0907,0.09391,0.094845,0.093135,0.09515,0.10083,0.11123,0.11198,0.09915,0.092305,0.119925,0.15663,0.15353,0.158065,0.15471,0.16988,0.17061,0.178435,0.185745,0.186875,0.19654,0.20299,0.201495,0.201935,0.19919,0.192285,0.18177,0.176805,0.16682,0.153695,0.14261,0.136115,0.1312,0.129155,0.129375,0.11897,0.10603,0.098865,0.096025,0.092155,0.088095,0.088295,0.086695,0.089795,0.09035,0.088,0.086635,0.084485,0.083925,0.086435,0.08623,0.086115,0.08729,0.092105,0.09723,0.1004,0.10056,0.099195,0.09793,0.095555,0.09329,0.090775,0.090515,0.089805,0.088935,0.08674,0.08379,0.08124,0.08011,0.07974,0.083255,0.083955,0.080235,0.07532,0.069205,0.06441,0.0619,0.057365,0.053635,0.05054,0.04637,0.04412,0.04097,0.03938,0.035985,0.03389,0.032675,0.03137
20,0.101365,0.10749,0.107865,0.106805,0.109535,0.113955,0.111315,0.11506,0.12375,0.13957,0.139355,0.12639,0.116405,0.1505,0.18775,0.183145,0.18022,0.18144,0.19514,0.200695,0.207965,0.21681,0.22246,0.2327,0.237355,0.237195,0.24181,0.23571,0.23042,0.218625,0.20688,0.19617,0.175535,0.167745,0.154525,0.14884,0.14608,0.146,0.131815,0.11567,0.106615,0.10491,0.101075,0.097745,0.09939,0.09673,0.09925,0.10305,0.09968,0.09883,0.09506,0.09466,0.096685,0.096515,0.096085,0.09879,0.10165,0.105545,0.108265,0.108545,0.107545,0.10557,0.1029,0.10152,0.099925,0.10113,0.099095,0.10019,0.096415,0.09443,0.093945,0.09244,0.09182,0.09554,0.09575,0.09294,0.08731,0.079755,0.07509,0.072835,0.069525,0.066865,0.06351,0.059235,0.056135,0.05383,0.051815,0.048035,0.045375,0.04382,0.04159
21,0.106395,0.112965,0.114215,0.115755,0.11773,0.120865,0.11949,0.12413,0.13443,0.154,0.15315,0.141825,0.129535,0.172915,0.202535,0.195285,0.19632,0.190095,0.21031,0.214405,0.22161,0.234275,0.24153,0.253985,0.259595,0.25525,0.25921,0.25776,0.25424,0.244435,0.231985,0.218265,0.195855,0.183315,0.174375,0.16505,0.164065,0.16245,0.14733,0.12561,0.11613,0.11417,0.109975,0.10671,0.10971,0.107105,0.10897,0.111835,0.11037,0.10864,0.104615,0.10288,0.1052,0.103965,0.104505,0.106045,0.110765,0.112635,0.11371,0.113095,0.11159,0.10929,0.107125,0.10655,0.105535,0.106335,0.106075,0.105455,0.10235,0.09902,0.09891,0.098285,0.097905,0.100805,0.101025,0.096765,0.092005,0.084255,0.080095,0.077895,0.075165,0.0736,0.070985,0.067125,0.064305,0.0611,0.05986,0.056145,0.053795,0.052175,0.049965
22,0.11349,0.11807,0.11915,0.1192,0.12375,0.126845,0.12156,0.126725,0.137775,0.15936,0.1585,0.149065,0.13592,0.181815,0.21111,0.19791,0.20066,0.200315,0.212635,0.22457,0.22713,0.24136,0.248615,0.261235,0.26932,0.266045,0.261805,0.26687,0.26146,0.25299,0.24105,0.228595,0.204025,0.192515,0.180505,0.17459,0.17259,0.172255,0.15596,0.133045,0.12228,0.12075,0.11571,0.11294,0.11557,0.112825,0.11542,0.11703,0.11442,0.115345,0.11023,0.10938,0.11043,0.109705,0.110295,0.112685,0.11654,0.11998,0.117855,0.115875,0.11396,0.112135,0.11054,0.111185,0.110465,0.11208,0.11123,0.11182,0.1076,0.10524,0.103525,0.10406,0.104995,0.108145,0.10644,0.10373,0.097925,0.091495,0.08653,0.08387,0.08168,0.08086,0.0786,0.07541,0.072315,0.06915,0.0676,0.064275,0.062465,0.06113,0.05844
